plan_id,composite_rank,theme,title,is_extension,novelty_score,impact_score,complexity_score,available_data_score,composite_score,data_readiness,primary_method,primary_outcome,geography_grain,core_tables,literature_anchor
"#1","1","Finance, affordability, and macro","Mortgage-rate pass-through under supply constraints","false","4","5","3","5","17","ready_now","Quarterly panel with shock interactions","Real sale-price growth","LAD|MSOA","source_land_registry_price_paid|dim_postcode_geography|fact_lad_supply_year|fact_lad_housing_stock_year|mortgage_rates_monthly_effective|mortgage_rates_monthly_quoted|inflation_monthly_core","Poterba (1984)|Saiz (2010)|Hilber and Vermeulen (2016)"
"#2","2","Supply, stock, and spatial divergence","Net supply component heterogeneity and price response","false","4","5","3","5","17","ready_now","Distributed-lag annual panel","Annual local price growth","LAD","source_land_registry_price_paid|dim_postcode_geography|fact_lad_supply_year","DiPasquale and Wheaton (1992)|Glaeser, Gyourko, and Saks (2005)"
"#3","3","Finance, affordability, and macro","Price-to-income misalignment and mean reversion","false","4","5","3","5","17","ready_now","Forward-return threshold regressions","Real forward appreciation and drawdowns","MSOA","source_land_registry_price_paid|dim_postcode_geography|fact_area_income_year|inflation_monthly_core","Himmelberg, Mayer, and Sinai (2005)|Gallin (2008)|Geng (2018)"
"#4","4","Supply, stock, and spatial divergence","Vacancy buffer versus price resilience","false","4","4","2","5","17","ready_now","Cycle-phase panel interactions","Downturn depth and rebound speed","LAD","source_land_registry_price_paid|dim_postcode_geography|fact_lad_housing_stock_year","Wheaton (1990)|Glaeser and Gyourko (2005)"
"#5","5","Finance, affordability, and macro","Quoted-effective mortgage spread as tightening proxy","false","4","4","2","5","17","ready_now","National spread shocks interacted with local panels","Price growth and affordability sensitivity","LAD|MSOA","mortgage_rates_monthly_quoted|mortgage_rates_monthly_effective|source_land_registry_price_paid|fact_area_income_year|fact_area_deprivation|fact_lad_supply_year|fact_lad_housing_stock_year","Mian and Sufi (2009)|Mian and Sufi (2011)"
"#6","6","Crime, deprivation, and environment","Crime composition capitalization versus total crime","false","4","4","2","5","17","ready_now","LSOA-month hedonic and panel models","Log sale price","LSOA","source_land_registry_price_paid|dim_postcode_geography|fact_area_crime_month","Gibbons (2004)|Linden and Rockoff (2008)"
"#11","7","Supply, stock, and spatial divergence","Demand shocks amplified in constrained or superstar areas","false","4","5","4","5","16","ready_now","Demand-shock interaction panel","Local price growth","LAD|MSOA","source_land_registry_price_paid|dim_postcode_geography|fact_area_income_year|fact_lad_supply_year|fact_lad_housing_stock_year|mortgage_rates_monthly_effective","Gyourko, Mayer, and Sinai (2013)|Hsieh and Moretti (2019)"
"#7","8","Finance, affordability, and macro","Inflation decomposition and real-price regime shifts","false","4","5","3","4","16","ready_now","Deflator decomposition and regime classification","Nominal versus real price growth","National|LAD","source_land_registry_price_paid|inflation_monthly_core|inflation_monthly_housing_components","Poterba (1980)|Hendershott and Abraham (1992)"
"#8","9","Demography, labour, methods, and extensions","Age composition and price gradients","false","3","4","2","5","16","ready_now","Annual panel with nonlinear age shares","Price levels and growth","LSOA","fact_area_demographics_year|source_land_registry_price_paid|dim_postcode_geography","Mankiw and Weil (1989)|Geng (2018)"
"#9","10","Demography, labour, methods, and extensions","Local labour shocks and housing cyclicality","false","3","4","2","5","16","ready_now","Local projections around labour shocks","Drawdowns, rebounds, and dispersion","LAD","fact_area_labour_month|source_land_registry_price_paid|dim_postcode_geography","Gan and Zhang (2006)|Liu, Miao, and Zha (2016)"
